loss,val_loss,acc,val_acc
0.48092547,0.3093131,0.8763541,0.70764166
0.45985666,0.2980919,0.8840767,0.6943786
0.44275695,0.2988645,0.8850739,0.72403115
0.41625634,0.31484193,0.8904049,0.73032373
0.40442806,0.32461986,0.8915292,0.7517463
0.38403964,0.28909403,0.88396156,0.7485223
0.42389363,0.3087417,0.8861812,0.7606869
0.4238038,0.33722675,0.88649946,0.7603905
0.37374407,0.30057406,0.8971131,0.6948292
0.39144397,0.26993227,0.8965456,0.72305036
0.40028554,0.30003524,0.8936286,0.71933675
0.38801077,0.27470252,0.8875891,0.74303025
0.41186702,0.33436036,0.89433306,0.74170756
0.40505642,0.3052903,0.8963811,0.6795566
0.4313889,0.30370694,0.8928019,0.70919204
0.37233987,0.2648856,0.89295167,0.71623987
0.38662663,0.26449302,0.8937136,0.7275609
0.380746,0.26736754,0.89206284,0.7388064
0.34389457,0.3589568,0.9061778,0.7292127
0.37610444,0.2863563,0.89949244,0.7593869
0.33422974,0.30385062,0.90444696,0.6845279
0.31349003,0.26229084,0.9066285,0.76710486
0.30912334,0.2805153,0.9058287,0.7359332
0.31645706,0.2850154,0.9080956,0.76733094
0.3303634,0.33211315,0.90103006,0.74147505
